bank_tier,current_version,target_version,version_jump_size,system_age_months,last_upgrade_months_ago,code_customization_percent,third_party_integrations,avg_transaction_volume,peak_transaction_volume,system_uptime_percent,avg_response_time_ms,incident_count_last_6months,unplanned_downtime_hours_last_year,infrastructure_model,server_count,database_size_gb,concurrent_users,network_bandwidth_mbps,power_stability_score,deployment_strategy,deployment_automation_level,pm_methodology,critical_incidents_last_year,test_environment_available,backup_verified,rollback_plan_exists,staff_training_completed,early_stage_testing_completed,cbn_compliance_verified,data_localization_compliant,cyber_security_framework_updated,bcp_dr_plan_tested,customer_satisfaction_score,customer_complaints_last_quarter,digital_banking_adoption_percent,service_disruption_tolerance_hours,upgrade_window_hours,business_critical_period,regulatory_compliance_required,dedicated_team_size,vendor_support_available,budget_allocated_usd,external_consultant_engaged,upgrade_success,upgrade_risk_score,system_health_score
tier2,v9.0,v11.0,major_2x,57,5,72.14826907808248,25,88259,694007,98.91509858087231,839,9,44,hybrid_cloud,24,29592,7120,3187,80.27934652779761,blue_green,34.07571928556258,scrum,2,1,1,1,0,1,1,1,1,1,63.20562444096363,12,63.553202669920395,9,44,0,0,11,1,942502,1,1,100.0,33.67754929043616
microfinance,v9.0,v9.2,major_2x,53,28,45.48309487906529,12,391828,322200,98.23707090128565,282,3,20,public_cloud,14,9517,6822,2546,73.77069137240741,canary,37.262350494824005,agile,1,1,1,0,1,1,1,1,0,1,84.14750300568724,17,55.674500886410605,5,9,1,1,11,1,2940696,0,1,75.1384355628052,74.47853545064282
tier3,v9.2,v9.2,major_1x,83,24,12.831450193356654,13,166064,366818,98.1492006309214,1063,11,29,on_premise,20,12283,5164,2910,68.69406089840678,big_bang,22.5962206453188,waterfall,4,1,0,1,1,1,1,1,1,1,84.7789483482189,15,72.25842864417749,1,32,1,1,9,1,2494911,1,1,100.0,30.314600315460694
tier3,v9.0,v10.5,major_2x,72,33,32.22180566134044,8,83554,579686,96.71621924283053,239,5,12,private_cloud,6,23079,4491,2497,75.14022843022899,blue_green,55.00706960664433,waterfall,6,1,1,1,1,0,1,1,0,1,64.74018898152559,17,67.02627204786697,4,28,0,0,13,1,512864,1,1,96.8453901231187,72.57810962141527
tier2,v10.1,v10.1,major_1x,26,36,44.834160320430406,29,146671,525918,97.9197782059915,1042,1,13,hybrid_cloud,15,9062,6659,5229,88.011844413704,rolling,47.30498388908034,kanban,1,1,1,1,1,1,1,0,1,0,64.9521803237985,15,79.50606444249043,1,29,0,0,11,1,3091360,1,1,49.46011269563451,68.61988910299576
tier2,v9.0,v9.0,minor,100,41,44.00636776338694,16,343797,515454,95.90291110827933,459,5,38,on_premise,16,10047,7824,4288,83.6372757223088,big_bang,19.452344028224584,scrum,5,1,1,1,1,1,1,1,1,1,78.45872106319358,15,57.06769560485592,9,53,1,1,11,1,1638719,1,1,78.73620301641577,54.77145555413966
tier1,v10.1,v10.1,major_2x,77,20,54.73279809929184,10,286035,457850,98.01980989494737,393,10,47,hybrid_cloud,41,19668,5220,9052,95.69717253880634,blue_green,23.648270126543927,agile,1,1,1,1,1,0,1,1,1,1,76.76122948890804,9,81.31013003614355,1,51,0,1,13,1,4615458,1,1,100.0,37.649904947473686
microfinance,v9.0,v9.2,major_1x,74,40,57.23690842015069,21,290752,283361,96.54542092559223,734,5,33,hybrid_cloud,16,5977,5919,3951,63.88043594755111,big_bang,24.7818377593613,scrum,1,1,1,1,0,1,0,1,1,1,88.2681458432956,16,82.0490838098852,6,33,0,1,7,1,1201426,1,1,93.01579070790959,52.092710462796106
tier3,v10.1,v11.0,minor,62,20,18.496872875762797,24,125267,202830,95.68618179540496,1252,9,32,hybrid_cloud,19,18715,1022,3517,82.74186371752273,blue_green,41.45525129757785,kanban,4,1,0,1,0,1,0,0,1,1,63.66448711559871,16,54.40597780326799,2,26,1,0,10,1,992942,1,1,100.0,29.803090897702475
tier3,v9.0,v9.0,minor,61,26,27.117003879669422,32,227199,484900,96.51215885745133,185,8,15,on_premise,28,22935,4405,3165,74.11927029741905,blue_green,47.01527241632241,kanban,0,1,1,1,1,0,1,1,1,1,70.83559506864849,16,52.312994121283644,5,22,0,1,4,1,1029124,0,1,93.41920007312119,63.05607942872565
